mpa_eff,Type.of.Zone,MPA.age,MPA.Size,NTZ.area,percent.fishers.primary,percent.fishers.p.t,diversity.primary.livelihoods,Attachment.Score,PercentProtein,PercentIncomeFish,harvest.rights,management.rights,num.local.threat,marine.group.percent,other.group.percent,decision.making.participation,rule.making.participation,groups.monitor.eco,groups.monitor.soc,groups.monitor.compliance,groups.enforcing.pens,clear.boundaries,user.spec.rules,govt.support,rules.match.eco,rules.match.soc,penatly.frequency,graduated.sanctions,penalties.match.offense
-0.153705325,NTZ,4,149208,15955,0.060905048,0.93225937,4.264089641,4.11052354,4.575550138,2.666194963,1.856962464,1.069981899,1.355196718,0.333851836,0.6945809,0.497053086,0.627166396,0.519843316,0.264089641,0.414465184,0.406943087,3.830142805,0.023808908,3.001799583,1.385010487,1.199407386,2.771351352,3.122537057,1.778626001
0.007470057,NTZ,4,149208,15955,0.061004023,0.932289102,4.263900705,4.11013592,4.57580355,2.665210651,1.856937893,1.070667726,1.354987576,0.33447332,0.694992172,0.498109609,0.627269975,0.520364715,0.263900705,0.412799583,0.404932235,3.815464971,0.023505255,3.003144133,1.388238057,1.201065992,2.768179645,3.111444183,1.77884823
-0.367263801,NTZ,4,149208,15955,0.061138084,0.9323276,4.26360847,4.109598963,4.576134981,2.663853726,1.856906691,1.071589311,1.354647216,0.335320349,0.695554607,0.49954225,0.627386128,0.521087145,0.26360847,0.410489968,0.402136907,3.795187029,0.023088073,3.004980999,1.392675809,1.20334015,2.763776436,3.096179276,1.779094873
-0.526948921,NTZ,4,149208,15955,0.061207424,0.932361114,4.263369701,4.109302498,4.5763329,2.663149781,1.856909212,1.072090082,1.354325949,0.335788005,0.695852104,0.500316358,0.627462844,0.521329477,0.263369701,0.40921415,0.400609472,3.784005284,0.022873295,3.005939973,1.395110696,1.204608151,2.761404296,3.088208195,1.779099694
-0.496839273,NTZ,4,149208,15955,0.05546973,0.931748025,4.245394782,4.123690396,4.559991408,2.709117642,1.861914714,1.032372033,1.319926449,0.306313578,0.675387258,0.444459702,0.61279362,0.479958453,0.245394782,0.469884568,0.47299827,4.356084135,0.037933915,2.936396597,1.257798801,1.133977236,2.883053468,3.611329033,1.724099946
-1.264996283,USE,4,149208,15955,0.064906965,0.937284161,4.192552306,4.077764887,4.586363237,2.606103231,1.86492444,1.101009438,1.243398592,0.374755057,0.718183336,0.553926048,0.61795205,0.503255223,0.192552306,0.27152407,0.235025507,2.640997105,0.007078867,3.072510076,1.623998381,1.324776231,2.518216895,2.447537078,1.695225279
-1.217608484,USE,4,149208,15955,0.065320762,0.936365797,4.222148656,4.084704227,4.589537611,2.614022212,1.861154564,1.104124429,1.291341353,0.370586388,0.716311376,0.552882828,0.628005054,0.515961953,0.222148656,0.302588676,0.273660372,2.874330074,0.008585286,3.06910563,1.58505093,1.305077854,2.571446215,2.530633415,1.740452766
-1.193964512,USE,3,346189,81394,0.305460099,0.803900304,3.352814565,3.882771829,4.759046913,3.424277436,1.80268605,0.446629416,2.341690552,0.135572224,0.49611468,0.357916945,0.310146689,0.967175598,0.929148171,0.846391991,0.932820387,4.28583661,0.079686939,3.156314101,1.349386855,1.548667266,2.766724522,2.185640429,1.350331861
-1.048458962,NTZ,3,346189,81394,0.28917213,0.796807172,3.337845006,3.908812772,4.756789158,3.403485353,1.797985962,0.434790079,2.346092058,0.155570592,0.526626844,0.380274145,0.336240155,0.971437168,0.942282261,0.838672379,0.937840082,4.19998451,0.075355746,3.26888341,1.39943244,1.501370455,2.653115644,2.283196346,1.502785166
-0.411267747,NTZ,3,346189,81394,0.290318513,0.794571918,3.340845541,3.899925197,4.761336616,3.417491606,1.795190872,0.434759857,2.337920328,0.152906779,0.515244895,0.373695344,0.327474091,0.971194965,0.940579383,0.842068937,0.930785839,4.233653644,0.077259348,3.239172025,1.410465164,1.531024956,2.701090537,2.288567593,1.501522826
